Date,Bond,Return_PD,Equity_Momentum,Masked_4,Curve_Slope,Curve_Level,Masked_1,303_Level,Masked_5,Value,302_6m_MA_change,304_Level,Carry,Skew,302_Level,302_1m_diff,301_Level,Yield,501_Level,Duration,201_Level,Beta
1990-05-31,10_15/10+|AU,0.002170568,0.038262369,0.43650768,-0.04173,14.39154,0.450549695,98.6,0.392766515,0.70133,-0.003333333,102.12,-0.199670309,-0.210573051,0.17,0.0,44.64,14.272,6.18,5.236335125,70.85,-1.37543934
1990-05-31,10_15/10+|CA,0.00725756,0.138227718,0.046251337,-1.0677,12.25719667,0.035995025,98.36,1.557480942,-0.503,0.116666667,102.2,-0.204525763,0.019227607,-0.27,0.09,54.62,11.889,7.3,6.912109642,69.75,-2.155981768
1990-05-31,10_15/10+|DE,0.001799068,-0.120977183,0.08593873,-0.006332,8.979940333,0.094821755,101.25,0.740387619,0.70133,0.283333333,99.96,0.034284624,0.600303781,4.33,0.12,69.51,8.755,5.69,10.27906763,71.36,-1.37543934
1990-05-31,10_15/10+|JP,0.003972976,0.165270975,0.041528835,-0.025415,7.041279,0.033333607,101.95,0.70160098,0.70133,-0.051666667,101.39,-0.053354215,5.455132352,4.68,-0.05,77.98,6.893,2.0,10.69635029,103.24,-1.37543934
1990-05-31,10_15/10+|SW,0.004587487,0.037429847,0.199216989,-0.23982,13.96694,0.2513471305,100.36,0.759232278,0.70133,-1.405,102.32,-0.028548153,-0.1558466925,-1.37,-0.42,57.5,13.71,1.4,5.495558878,70.34,-1.37543934
1990-05-31,10_15/10+|UK,0.008730031,0.025624422,0.205125722,-1.19062,13.59844333,0.220184581,99.37,1.489931566,1.887,-0.316666667,102.1,-0.382957992,0.04122304,0.81,-0.11,60.33,12.966,6.7,6.577575763,82.14,-2.460580353
1990-05-31,10_15/10+|US,0.004199231,0.039094891,0.065820585,0.139304,9.055874333,0.06585426,99.81,0.778076937,-2.828,0.21,101.55,0.106136696,-0.179710729,2.17,0.13,52.96,9.335,5.2,8.637829317,62.12,-3.131052376
1990-05-31,1_3|AU,0.001915431,0.038262369,1.083330456,-0.04173,14.39154,2.103897696,98.6,0.392766515,0.70133,-0.003333333,102.12,-0.75168839,-0.063240002,0.17,0.0,44.64,14.4266,6.18,1.569562731,70.85,-1.37543934
1990-05-31,1_3|CA,0.006165352,0.138227718,0.352028006,-1.0677,12.25719667,0.701558691,98.36,1.557480942,3.58498,0.116666667,102.2,-0.630024444,-0.251818901,-0.27,0.09,54.62,12.81738,7.3,1.688343311,69.75,-0.942852177
1990-05-31,1_3|DE,0.001723583,-0.120977183,0.311344169,-0.006332,8.979940333,0.616795611,101.25,0.740387619,2.082235,0.283333333,99.96,0.668874565,1.935664409,4.33,0.12,69.51,8.979194,5.69,1.895187443,71.36,-0.44371424
1990-05-31,1_3|JP,0.003745186,0.165270975,0.145245054,-0.025415,7.041279,0.294909616,101.95,0.70160098,0.365411,-0.051666667,101.39,-0.283439326,-0.186462006,4.68,-0.05,77.98,7.051411,2.0,1.854107625,103.24,-0.287875467
1990-05-31,1_3|SW,0.004523737,0.037429847,0.199216989,-0.23982,13.96694,0.2513471305,100.36,0.759232278,0.70133,-1.405,102.32,0.550811885,-0.1558466925,-1.37,-0.42,57.5,14.11971,1.4,2.151314615,70.34,-1.37543934
1990-05-31,1_3|UK,0.009769662,0.025624422,0.628762634,-1.19062,13.59844333,1.225233981,99.37,1.489931566,2.75612,-0.316666667,102.1,-1.200681545,-0.355144202,0.81,-0.11,60.33,14.39289,6.7,1.621149843,82.14,-0.817322086
1990-05-31,1_3|US,0.005380185,0.039094891,0.325658379,0.139304,9.055874333,0.747229141,99.81,0.778076937,-1.688234,0.21,101.55,0.772327785,-0.577111596,2.17,0.13,52.96,8.951627,5.2,1.626420454,62.12,-0.677493235
1990-05-31,3_5|AU,0.002356507,0.038262369,0.765355825,-0.04173,14.39154,0.968514401,98.6,0.392766515,0.70133,-0.003333333,102.12,-0.344495714,-0.056240232,0.17,0.0,44.64,14.27009,6.18,2.861246756,70.85,-1.37543934
1990-05-31,3_5|CA,0.007385796,0.138227718,0.234662194,-1.0677,12.25719667,0.274683741,98.36,1.557480942,0.7373,0.116666667,102.2,-0.555807861,-0.409386642,-0.27,0.09,54.62,12.41628,7.3,3.022811623,69.75,-1.402999353
1990-05-31,3_5|DE,0.001333367,-0.120977183,0.216643427,-0.006332,8.979940333,0.279469537,101.25,0.740387619,1.867815,0.283333333,99.96,0.269557854,1.624842135,4.33,0.12,69.51,9.086608,5.69,3.347683155,71.36,-0.772623865
1990-05-31,3_5|JP,0.004612089,0.165270975,0.090334415,-0.025415,7.041279,0.107487908,101.95,0.70160098,0.132554,-0.051666667,101.39,-0.171753777,0.635951965,4.68,-0.05,77.98,6.942554,2.0,3.285437368,103.24,-0.362583472
1990-05-31,3_5|SW,0.004767124,0.037429847,0.199216989,-0.23982,13.96694,0.2513471305,100.36,0.759232278,0.70133,-1.405,102.32,0.203867749,-0.1558466925,-1.37,-0.42,57.5,14.11102,1.4,3.066003616,70.34,-1.37543934
1990-05-31,3_5|UK,0.0110999,0.025624422,0.4150803,-1.19062,13.59844333,0.533393436,99.37,1.489931566,1.66906,-0.316666667,102.1,-0.919005964,-0.279654292,0.81,-0.11,60.33,13.6529,6.7,2.996361856,82.14,-1.37543934
1990-05-31,3_5|US,0.004974402,0.039094891,0.193308256,0.139304,9.055874333,0.22801052,99.81,0.778076937,-2.390498,0.21,101.55,0.214199959,-0.301202562,2.17,0.13,52.96,9.071058,5.2,3.101383837,62.12,-1.290178961
1990-05-31,5_7|AU,0.00228895,0.038262369,0.599656408,-0.04173,14.39154,0.66621958,98.6,0.392766515,0.70133,-0.003333333,102.12,-0.227185373,-0.226261625,0.17,0.0,44.64,14.23113,6.18,3.945651596,70.85,-1.37543934
1990-05-31,5_7|CA,0.00769878,0.138227718,0.157144201,-1.0677,12.25719667,0.159607016,98.36,1.557480942,0.70133,0.116666667,102.2,-0.41951325,-0.259370045,-0.27,0.09,54.62,12.18715,7.3,4.033389392,69.75,-1.81293078
1990-05-31,5_7|DE,0.000922,-0.120977183,0.162082263,-0.006332,8.979940333,0.166231555,101.25,0.740387619,1.619683,0.283333333,99.96,0.153324106,1.130155919,4.33,0.12,69.51,9.092624,5.69,4.536293856,71.36,-1.16270704
1990-05-31,5_7|JP,0.005049731,0.165270975,0.100729001,-0.025415,7.041279,0.200183972,101.95,0.70160098,0.26043,-0.051666667,101.39,-0.00261607,1.503623371,4.68,-0.05,77.98,7.04643,2.0,4.766079763,103.24,-0.633877115
1990-05-31,5_7|SW,0.005162756,0.037429847,0.199216989,-0.23982,13.96694,0.2513471305,100.36,0.759232278,0.70133,-1.405,102.32,0.064632219,-0.1558466925,-1.37,-0.42,57.5,13.963,1.4,3.987259023,70.34,-1.37543934
1990-05-31,5_7|UK,0.010942358,0.025624422,0.361299292,-1.19062,13.59844333,0.384414454,99.37,1.489931566,1.83171,-0.316666667,102.1,-0.603296614,-0.376979563,0.81,-0.11,60.33,13.37306,6.7,4.18424519,82.14,-1.609931473
1990-05-31,5_7|US,0.004655839,0.039094891,0.134999472,0.139304,9.055874333,0.13210013,99.81,0.778076937,-2.790213,0.21,101.55,0.125574982,-0.113741343,2.17,0.13,52.96,9.091988,5.2,4.384219638,62.12,-1.747410533
1990-05-31,7_10|AU,0.002500536,0.038262369,0.498301656,-0.04173,14.39154,0.53654219,98.6,0.392766515,0.70133,-0.003333333,102.12,-0.062299923,-0.131982656,0.17,0.0,44.64,14.401,6.18,4.758373328,70.85,-1.37543934
1990-05-31,7_10|CA,0.007072999,0.138227718,0.074200357,-1.0677,12.25719667,-0.010901053,98.36,1.557480942,-0.33972,0.116666667,102.2,-0.452023599,-0.275906637,-0.27,0.09,54.62,11.77447,7.3,5.30092225,69.75,-2.138104274
1990-05-31,7_10|DE,0.000859,-0.120977183,0.132594883,-0.006332,8.979940333,0.151185814,101.25,0.740387619,1.488903,0.283333333,99.96,0.071217233,0.897575043,4.33,0.12,69.51,8.971194,5.69,5.843302038,71.36,-1.894604948
1990-05-31,7_10|JP,0.004178875,0.165270975,0.081521144,-0.025415,7.041279,0.101417261,101.95,0.70160098,-0.046004,-0.051666667,101.39,-0.052743569,0.824584044,4.68,-0.05,77.98,7.025996,2.0,6.457527199,103.24,-1.189905515
